countryCode|currencyCode|population|capital|continent|areaInSqKm|languages|geonameId
AD|EUR|84000|Andorra la Vella|EU|468|ca|3041565
AE|AED|4975593|Abu Dhabi|AS|82880|ar-AE,fa,en,hi,ur|290557
AF|AFN|29121286|Kabul|AS|647500|fa-AF,ps,uz-AF,tk|1149361
AG|XCD|86754|St. John's|NA|443|en-AG|3576396
AI|XCD|13254|The Valley|NA|102|en-AI|3573511
AL|ALL|2986952|Tirana|EU|28748|sq,el|783754
AM|AMD|2968000|Yerevan|AS|29800|hy|174982
AO|AOA|13068161|Luanda|AF|1246700|pt-AO|3351879
AQ||0||AN|1.40E+007||6697173
AR|ARS|41343201|Buenos Aires|SA|2766890|es-AR,en,it,de,fr,gn|3865483
AS|USD|57881|Pago Pago|OC|199|en-AS,sm,to|5880801
AT|EUR|8205000|Vienna|EU|83858|de-AT,hr,hu,sl|2782113
AU|AUD|21515754|Canberra|OC|7686850|en-AU|2077456
AW|AWG|71566|Oranjestad|NA|193|nl-AW,es,en|3577279
AX|EUR|26711|Mariehamn|EU|1580|sv-AX|661882
AZ|AZN|8303512|Baku|AS|86600|az,ru,hy|587116
BA|BAM|4590000|Sarajevo|EU|51129|bs,hr-BA,sr-BA|3277605
BB|BBD|285653|Bridgetown|NA|431|en-BB|3374084
BD|BDT|156118464|Dhaka|AS|144000|bn-BD,en|1210997
BE|EUR|10403000|Brussels|EU|30510|nl-BE,fr-BE,de-BE|2802361
BF|XOF|16241811|Ouagadougou|AF|274200|fr-BF|2361809
BG|BGN|7148785|Sofia|EU|110910|bg,tr-BG,rom|732800
BH|BHD|738004|Manama|AS|665|ar-BH,en,fa,ur|290291
BI|BIF|9863117|Bujumbura|AF|27830|fr-BI,rn|433561
BJ|XOF|9056010|Porto-Novo|AF|112620|fr-BJ|2395170
BL|EUR|8450|Gustavia|NA|21|fr|3578476
BM|BMD|65365|Hamilton|NA|53|en-BM,pt|3573345
BN|BND|395027|Bandar Seri Begawan|AS|5770|ms-BN,en-BN|1820814
BO|BOB|9947418|Sucre|SA|1098580|es-BO,qu,ay|3923057
BQ|USD|18012||NA|328|nl,pap,en|7626844
BR|BRL|201103330|Brasília|SA|8511965|pt-BR,es,en,fr|3469034
BS|BSD|301790|Nassau|NA|13940|en-BS|3572887
BT|BTN|699847|Thimphu|AS|47000|dz|1252634
BV|NOK|0||AN|49||3371123
BW|BWP|2029307|Gaborone|AF|600370|en-BW,tn-BW|933860
BY|BYR|9685000|Minsk|EU|207600|be,ru|630336
BZ|BZD|314522|Belmopan|NA|22966|en-BZ,es|3582678
CA|CAD|33679000|Ottawa|NA|9984670|en-CA,fr-CA,iu|6251999
CC|AUD|628|West Island|AS|14|ms-CC,en|1547376
CD|CDF|70916439|Kinshasa|AF|2345410|fr-CD,ln,kg|203312
CF|XAF|4844927|Bangui|AF|622984|fr-CF,sg,ln,kg|239880
CG|XAF|3039126|Brazzaville|AF|342000|fr-CG,kg,ln-CG|2260494
CH|CHF|7581000|Berne|EU|41290|de-CH,fr-CH,it-CH,rm|2658434
CI|XOF|21058798|Yamoussoukro|AF|322460|fr-CI|2287781
CK|NZD|21388|Avarua|OC|240|en-CK,mi|1899402
CL|CLP|16746491|Santiago|SA|756950|es-CL|3895114
CM|XAF|19294149|Yaoundé|AF|475440|en-CM,fr-CM|2233387
CN|CNY|1330044000|Beijing|AS|9596960|zh-CN,yue,wuu,dta,ug,za|1814991
CO|COP|47790000|Bogotá|SA|1138910|es-CO|3686110
CR|CRC|4516220|San José|NA|51100|es-CR,en|3624060
CU|CUP|11423000|Havana|NA|110860|es-CU|3562981
CV|CVE|508659|Praia|AF|4033|pt-CV|3374766
CW|ANG|141766|Willemstad|NA|444|nl,pap|7626836
CX|AUD|1500|The Settlement|AS|135|en,zh,ms-CC|2078138
CY|EUR|1102677|Nicosia|EU|9250|el-CY,tr-CY,en|146669
CZ|CZK|10476000|Prague|EU|78866|cs,sk|3077311
DE|EUR|81802257|Berlin|EU|357021|de|2921044
DJ|DJF|740528|Djibouti|AF|23000|fr-DJ,ar,so-DJ,aa|223816
DK|DKK|5484000|Copenhagen|EU|43094|da-DK,en,fo,de-DK|2623032
DM|XCD|72813|Roseau|NA|754|en-DM|3575830
DO|DOP|9823821|Santo Domingo|NA|48730|es-DO|3508796
DZ|DZD|34586184|Algiers|AF|2381740|ar-DZ|2589581
EC|USD|14790608|Quito|SA|283560|es-EC|3658394
EE|EUR|1291170|Tallinn|EU|45226|et,ru|453733
EG|EGP|80471869|Cairo|AF|1001450|ar-EG,en,fr|357994
EH|MAD|273008|El Aaiún|AF|266000|ar,mey|2461445
ER|ERN|5792984|Asmara|AF|121320|aa-ER,ar,tig,kun,ti-ER|338010
ES|EUR|46505963|Madrid|EU|504782|es-ES,ca,gl,eu,oc|2510769
ET|ETB|88013491|Addis Ababa|AF|1127127|am,en-ET,om-ET,ti-ET,so-ET,sid|337996
FI|EUR|5244000|Helsinki|EU|337030|fi-FI,sv-FI,smn|660013
FJ|FJD|875983|Suva|OC|18270|en-FJ,fj|2205218
FK|FKP|2638|Stanley|SA|12173|en-FK|3474414
FM|USD|107708|Palikir|OC|702|en-FM,chk,pon,yap,kos,uli,woe,nkr,kpg|2081918
FO|DKK|48228|Tórshavn|EU|1399|fo,da-FO|2622320
FR|EUR|64768389|Paris|EU|547030|fr-FR,frp,br,co,ca,eu,oc|3017382
GA|XAF|1545255|Libreville|AF|267667|fr-GA|2400553
GB|GBP|62348447|London|EU|244820|en-GB,cy-GB,gd|2635167
GD|XCD|107818|St. George's|NA|344|en-GD|3580239
